event_date,device_category,operating_system,event_name,page_location,page_referrer,firebase_screen,firebase_previous_screen,sn,sr,app_version,event_count,user_pseudo_id_count
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Overview.1127489,,,sr2Tab,7.3.4,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.137646,,HK.Takeaway.order.137646,sr2OV,7.9.5,1,1
2026-09-13,mobile,iOS,or_search_get_poi,,,HK.QckSearch.SR1.8,,,sr1,7.8.0,5,2
2026-09-13,mobile,Android,or_search_adv,,,HK.Search.SR1.4,,hk.Search.SR1.4,OfferSR1,7.15.0,1,1
2026-09-13,mobile,iOS,or_poi_get_photos_video,,,HK.SR2.photo.popularDish.719007,,HK.SR2.photo.popularDish.719007,sr2PhotoTab,7.10.3,1,1
2026-09-13,mobile,iOS,or_takeaway_checkout,,,HK.Takeaway.order.678969,,HK.Takeaway.order.678969,menu,7.17.2,3,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.photo.decor.723366,,HK.SR2.photo.decor.723366,sr2PhotoTab,7.9.5,1,1
2026-09-13,mobile,Android,or_search_tablemap,,,HK.TM.SR1.1,,hk.Home,index,7.14.5,1,1
2026-09-13,mobile,iOS,or_poi_map_copy,,,HK.SR2.Map.1119731,,,,7.12.3,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Reel.photo.28933702,,HK.SR2.Reel.photo.28933702,,7.9.5,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.550678,,HK.SR2.Overview.550678,,7.11.1,1,1
2026-09-13,mobile,iOS,or_poi_map,,,HK.SR2.Overview.886947,,HK.SR2.Overview.886947,,7.9.5,1,1
2026-09-13,mobile,iOS,user_media_fullscreen,,,HK.Photo.SR1.Reel.media.55996,,HK.Photo.SR1.Reel.media.55996,Reel,7.15.0,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.1147111,,,sr2opening,7.1.1,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.QckSearch.SR1.1,,HK.QckSearch.SR1.1,,7.6.0,6,4
2026-09-13,mobile,iOS,or_poi_review_back,,,HK.SR2.review.1029161,,HK.SR2.review.1029161,,7.10.3,1,1
2026-09-13,mobile,iOS,or_poi_lms_banner,,,HK.SR2.Overview.608240,,HK.SR2.Overview.608240,,7.16.1,1,1
2026-09-13,mobile,iOS,or_chart_bookmarked_preview,,,HK.Home.Explore.1,,HK.Home.Explore.1,ChartBookmarkPreview,7.9.5,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.photo.879674,,HK.SR2.photo.879674,,7.9.5,1,1
2026-09-13,mobile,Android,impression_photo,,,HK.Explore.3,,,PhotoSR1,7.3.5,24,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.672108,,HK.Takeaway.order.672108,themesr1,7.14.3,2,1
2026-09-13,mobile,Android,or_search_quick,,,HK.Search.SR1.7,,hk.Search.SR1.3,biz,7.16.2,1,1
2026-09-13,mobile,iOS,or_search_quick,,,HK.LMS2Lite.35314.tab.-990.3,,HK.LMS2Lite.35314.tab.-990.3,,7.16.0,2,2
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Overview.1121002,,HK.SR2.Overview.1121002,sr2Tab,7.6.6,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.860397,,HK.SR2.Overview.860397,sr2allphoto,7.9.6,3,2
2026-09-13,mobile,iOS,user_bookmark_poi,,,HK.SR2.Overview.663518,,,sr2,7.12.3,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.photo.1118756,,HK.SR2.photo.1118756,,7.6.6,1,1
2026-09-13,mobile,iOS,or_takeaway_order,,,HK.Takeaway.order.888861,,HK.Takeaway.order.888861,sr2Tab,7.10.2,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.1135462,,HK.SR2.Overview.1135462,sr2opening,7.11.1,1,1
2026-09-13,mobile,iOS,or_search_nearby,,,HK.QckSearch.SR1.19,,HK.QckSearch.SR1.19,Index,7.9.5,1,1
2026-09-13,mobile,Android,or_poi_get_photos_all_video,,,HK.SR2.photo.video.6952,,HK.SR2.overview.6952,sr2photoTab,7.15.0,1,1
2026-09-13,mobile,iOS,or_poi_popularDish_detail,,,HK.SR2.photo.popularDish.808549,,HK.SR2.photo.popularDish.808549,,7.14.4,2,1
2026-09-13,mobile,iOS,or_poi_popularDish,,,HK.SR2.Menu.728472,,,sr2PhotoTab,7.2.1,1,1
2026-09-13,mobile,iOS,or_page_home,,,HK.Photo.SR1.Reel.media.55882,,,btmBar,7.13.3,1,1
2026-09-13,mobile,iOS,or_deeplink_get_poi,,,,,HK.SR2.Overview.879499,,7.17.0,1,1
2026-09-13,mobile,iOS,or_poi_moreinfo,,,HK.SR2.Overview.7773,,HK.SR2.Overview.7773,sr2MoreInfo,7.15.0,1,1
2026-09-13,mobile,iOS,poi_emenu_photo,,,HK.SR2.photo.menu.723830,,HK.SR2.photo.menu.723830,,7.10.0,1,1
2026-09-13,mobile,iOS,or_poi_popularDish,,,HK.SR2.Overview.745891,,,sr2popular,7.3.5,1,1
2026-09-13,mobile,Android,or_search_adv,,,HK.Search.SR1.3,,hk.TM.SR1.3,biz,7.16.1,1,1
2026-09-13,mobile,iOS,or_search_back_dialog,,,HK.SR2.Overview.1549,,HK.SR2.Overview.1549,,7.16.2,1,1
2026-09-13,mobile,iOS,or_poi_phone,,,HK.SR2.Overview.494254,,,sr2basic,7.16.1,1,1
2026-09-13,mobile,iOS,view_overview_Promotion,,,HK.SR2.Overview.627040,,,,6.3.3,1,1
2026-09-13,mobile,iOS,impression_photo,,,HK.QckSearch.SR1.1,,hk.photo.SR1.1,PhotoSR1,7.9.6,8,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Overview.889775,,HK.SR2.Overview.889775,sr2allphoto,7.8.0,1,1
2026-09-13,mobile,iOS,or_sr2_reel_media,,,HK.SR2.photo.875222,,hk.SR2.photo.875222,,7.9.6,1,1
2026-09-13,mobile,iOS,or_poi_map_nearby,,,HK.SR2.Map.2837,,,,7.14.4,1,1
2026-09-13,mobile,iOS,or_search_adv,,,HK.AdvSearch.SR1.6,,HK.AdvSearch.SR1.6,Advance,7.4.3,3,3
2026-09-13,mobile,iOS,or_poi_map,,,HK.SR2.Overview.991355,,HK.SR2.Overview.991355,,7.14.4,1,1
2026-09-13,mobile,iOS,user_enter_profile,,,TW.Home,,TW.Home,btmBar,7.13.2,1,1
2026-09-13,mobile,iOS,or_poi_suggest_poi,,,HK.SR2.Overview.798198,,,,7.9.6,1,1
2026-09-13,mobile,iOS,or_search_nearby,,,HK.Search.SR1.1,,HK.Search.SR1.1,qcksearch,7.10.2,13,10
2026-09-13,mobile,Android,or_explore,,,HK.Home.Explore.2,,,btmBar,7.16.2,1,1
2026-09-13,mobile,iOS,or_search_layer_tips,,,HK.Search.SR1.7,,HK.Search.SR1.7,qcksearch,7.12.1,1,1
2026-09-13,mobile,iOS,or_poi_map,,,HK.SR2.Overview.725700,,HK.SR2.Overview.725700,,7.9.2,1,1
2026-09-13,mobile,Android,user_media_fullscreen,,,HK.Sr2.Reel.photo.28884748,,HK.Sr2.Reel.photo.28884748,,7.17.1,1,1
2026-09-13,mobile,iOS,or_search_back,,,CN.QckSearch.sr1.1,,CN.QckSearch.sr1.1,,7.9.6,1,1
2026-09-13,mobile,iOS,or_poi_get_photos,,,HK.SR2.Reel.photo.29479535,,HK.SR2.Reel.photo.29479535,,7.9.0,1,1
2026-09-13,mobile,iOS,or_poi_get_menu,,,HK.SR2.Menu.25865,,HK.SR2.Menu.25865,,7.9.5,1,1
